Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
CapeTownCityCentre,2650000,1,1,,80,,"            City living never looked this good. Recently renovated one bedroom 80 sqm apartment, on the 6th floor,  at the ever popular De Oude ...        "
Vredehoek,2495000,2,1,2,85,,            Exclusive Mandate | Two-Bedroom Sun Splashed SensationWelcome home into your spacious ...        
GreenPoint,2450000,2,1,,90,,"            Exclusive Mandate – Set back without any noise in this sought-after complex, this ...        "
Constantia,13650000,3,3,2,,781,"            Price R13 650 000 includes VAT (no transfer duty)Luxury, Contemporary Lifestyle Estate ...        "
Plumstead,1900000,3,2,2,,184,"            By far one of the largest townhouses in the area with recent renovations, this home has ...        "
Bergvliet,3450000,3,2,2,,612,            This low maintenance home is very deceptive from the frontage. Once entering this home ...        
CampsBay,11900000,5,5,3,,902,            Consider the potential for dual living with possible rental returns from the split ...        
CapeTownCityCentre,19500000,3,3.5,2,211,,"            Situated in the heart of the luxurious new development precinct: Foreshore, this ...        "
SeaPoint,2899000,1,1,,71,,            Bright and Sunny large renovated top floor apartment offers panoramic sea views of the ...        
MouillePoint,10850000,2,2,2,177,,            Overlooking the lush golf course and Urban Park with an ocean view from the expansive ...        
Claremont,4400000,4,2,3,,396,"            This Grand Old Lady is in pristine condition and offers 4 bedrooms, a study and 2 ...        "
Fresnaye,12950000,4,3.5,2,,688,            FAMILY LIVING AT ITS BEST This warm and welcoming traditional double-storey home situated on a corner stand  in the heart of Fresnaye ...        
WynbergUpper,2800000,3,3,4,,712,            Reception rooms:Spacious living area with open wood burning fireplace welcomes you into ...        
Rondebosch,1295000,,1,,41,,            This immaculate studio apartment in the leafy Rondebosch Oaks offers safe and secure ...        
Bergvliet,3650000,4,3,4,,833,"            Perfectly positioned in the quiet, tree lined avenues of Bergvliet, this old family home ...        "
Woodstock,1725000,3,1,,,129,"            Exclusive Mandate | This classic Victorian 3-bedroom, 1-bathroom home in Woodstock is ...        "
SeaPoint,4250000,2,2,2,,178,"            Charming and affordable 2 bedroom home. Stunning lock up and go, low maintenance ...        "
MouillePoint,35000000,3,4,3,449,,"            This luxurious apartments brief of ""timeless and chic"" has been translated ...        "
CapeTownCityCentre,4250000,2,1.5,1,109,,"            Situated a short walk from Bree Street in the upper City Centre, this stunning penthouse ...        "
