location,price,floor_size,bathrooms,bedrooms,parking
Sea Point,5750000,104,2,3,2
Green Point,9500000,196,3,3,None
Woodstock,2100000,82,1,1,None
Salt River,1350000,None,1,1,1
Cape Town City Centre,1995000,None,1,0.5,1
Wynberg Upper,5900000,575,3,4,2
Newlands,8400000,633,4,4,2
Plumstead,1750000,172,1,2,1
Zonnebloem,1950000,None,1,2,1
Mouille Point,14995000,212,3,4,2
Sea Point,2995000,71,2,2,1
Constantia,28000000,8 190,4,6,3
Cape Town City Centre,3395000,113,2,1,None
Oranjezicht,1795000,67,1,1,1
Claremont Upper,2400000,109,2,2,1
Rondebosch,1145000,39,1,0.5,2
Observatory,1949000,50,1,1,1
Green Point,2999000,126,1.5,3,None
Gardens,3750000,150,2,2,2
Pelican Park,395000,83,1,2,None
Foreshore,6400000,90,2,2,2
Three Anchor Bay,2650000,86,1,2,None
Green Point,2550000,69,1,1,None
Camps Bay,14000000,934,2.5,4,6
Camps Bay,7500000,149,2,2,1
Foreshore,2400000,52,1,1,1
Newlands,6995000,346,3,3,2
Cape Town City Centre,6300000,124,3,2,2
Llandudno,23000000,1 090,4,4,2
Muizenberg,1590000,55,1,1,1
Gardens,4500000,124,2,2,1
Cape Town City Centre,2645000,84,1,1,1
Diep River,1790000,115,2,3,1
Mouille Point,3500000,78,2,1,1
Sea Point,2875000,72,2,2,None
Bantry Bay,75000000,427,3.5,3,2
Observatory,1500000,49,2,1,1
Lakeside,2295000,95,2,3,3
Observatory,3900000,511,3,4,2
Cape Town City Centre,2250000,40,1,1,1
Oranjezicht,12995000,510,2,2,2
Higgovale,20800000,1 363,6,6,4
Ocean View,1195000,364,4,5,2
Woodstock,2650000,None,1,1,1
Observatory,3250000,272,2,1,1
Camps Bay,6750000,133,2.5,3,2
Plumstead,1400000,77,1,2,None
Rondebosch,4850000,403,3,7,4
Wynberg Upper,1595000,None,1,2,1
Sea Point,21500000,275,3,3,2
Sea Point,6995000,120,2,2,2
Sea Point,4500000,179,2,3,1
Bishopscourt,14350000,4 240,3,4,3
Sea Point,24900000,294,3.5,3,3
Kalk Bay,6950000,560,4,4,1
Green Point,2495000,63,1,2,1
Pelican Park,1395000,363,2,3,4
De Waterkant,2999000,55,1,1,1
Ottery,2250000,424,2,3,2
Wynberg Upper,4395000,573,2.5,3,5
Green Point,7250000,171,2,3,2
Claremont,1450000,49,1,1,1
Plumstead,2750000,100,2,2,1
Stonehurst Mountain Estate,4550000,294,3,3,2
Kenilworth,2350000,67,2,2,1
Cape Town City Centre,1550000,49,1,None,1
Kenilworth Upper,7795000,1 085,3,3,6
Pinelands,2100000,140,2,3,2
Westlake,850000,130,2,2,1
Green Point,3600000,97,1,2,1
Sea Point,4800000,67,2,2,1
Walmer Estate,2950000,None,1,2,1
Rosebank,995000,None,1,1,None
Plumstead,2450000,472,2,3,5
Plumstead,1850000,446,1,3,1
Foreshore,2980000,51,1,1,1
Muizenberg,1375000,201,2,3,1
Bishopscourt,23000000,3 620,4,4,3
Rosebank,1900000,78,1,2,2
Cape Town City Centre,1950000,51,1,0.5,1
Sea Point,3250000,106,1,2,1
Green Point,6990000,97,2,2,2
Green Point,10500000,446,4,4,None
Ottery,1195000,63,2,2,3
Wynberg,380000,32,None,None,None
Rondebosch,2495000,110,1.5,2,1
Woodstock,1700000,101,3,6,None
